,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C14-12,-86.071180,0.000000,0.000000
C14-13,-109.109716,0.000000,0.000000
C14-14,-120.746544,0.000000,0.000000
C14-15,-108.300148,0.000000,0.000000
C14-16,-90.250168,0.000000,0.000000
C14-17,-85.463730,0.000000,0.000000
C14-18,-76.389387,0.000000,0.000000
C14-19,-57.136888,0.000000,0.000000
C14-20,-56.781128,0.000000,0.000000
C14-21,-64.622662,0.000000,0.000000
C14-22,-66.369362,0.000000,0.000000
C14-23,-78.696178,0.000000,0.000000
C14-24,-84.947142,0.000000,0.000000
C15-1,52.734537,0.000000,0.000000
C15-2,56.816389,0.000000,0.000000
C15-3,13.113824,0.000000,0.000000
C15-4,59.725593,0.000000,0.000000
C15-5,58.693177,0.000000,0.000000
C15-6,54.323457,0.000000,0.000000
C15-7,44.885013,0.000000,0.000000
C15-8,39.730484,0.000000,0.000000
C15-9,30.063891,0.000000,0.000000
C15-10,16.788711,0.000000,0.000000
C15-11,-30.706753,0.000000,0.000000
C15-12,-89.012630,0.000000,0.000000
C15-13,-132.710645,0.000000,0.000000
C15-14,-145.706877,0.000000,0.000000
C15-15,-125.902773,0.000000,0.000000
C15-16,-95.575731,0.000000,0.000000
C15-17,-104.893315,0.000000,0.000000
C15-18,-98.566883,0.000000,0.000000
C15-19,-72.720042,0.000000,0.000000
C15-20,-59.517509,0.000000,0.000000
C15-21,-58.590797,0.000000,0.000000
C15-22,-51.799065,0.000000,0.000000
C15-23,-65.175531,0.000000,0.000000
C15-24,-70.689996,0.000000,0.000000
C16-1,-77.963597,0.000000,0.000000
C16-2,-71.189946,0.000000,0.000000
C16-3,-83.824460,0.000000,0.000000
C16-4,-66.221240,0.000000,0.000000
C16-5,-67.889781,0.000000,0.000000
C16-6,-75.511891,0.000000,0.000000
C16-7,-91.774910,0.000000,0.000000
C16-8,-96.403320,0.000000,0.000000
C16-9,-72.958731,0.000000,0.000000
C16-10,-88.921641,0.000000,0.000000
C16-11,-123.150891,0.000000,0.000000
C16-12,-134.214121,0.000000,0.000000
C16-13,-132.424284,0.000000,0.000000
C16-14,-134.295947,0.000000,0.000000
C16-15,-130.982831,0.000000,0.000000
C16-16,-130.154145,0.000000,0.000000
C16-17,-143.513674,0.000000,0.000000
C16-18,-155.831136,0.000000,0.000000
C16-19,-149.022887,0.000000,0.000000
C16-20,-148.489302,0.000000,0.000000
C16-21,-146.596914,0.000000,0.000000
C16-22,-141.386587,0.000000,0.000000
C16-23,-137.818852,0.000000,0.000000
C16-24,-131.617467,0.000000,0.000000
C17-1,-69.069575,0.000000,0.000000
C17-2,-63.795822,0.000000,0.000000
C17-3,-70.214925,0.000000,0.000000
C17-4,-59.919295,0.000000,0.000000
C17-5,-61.215818,0.000000,0.000000
C17-6,-67.171313,0.000000,0.000000
C17-7,-79.867450,0.000000,0.000000
C17-8,-82.807972,0.000000,0.000000
C17-9,-80.730683,0.000000,0.000000
C17-10,-85.757546,0.000000,0.000000
C17-11,-111.596595,0.000000,0.000000
C17-12,-137.199040,0.000000,0.000000
C17-13,-156.373995,0.000000,0.000000
C17-14,-159.625153,0.000000,0.000000
C17-15,-148.845593,0.000000,0.000000
C17-16,-135.558410,0.000000,0.000000
C17-17,-163.230396,0.000000,0.000000
C17-18,-178.336378,0.000000,0.000000
C17-19,-164.836334,0.000000,0.000000
C17-20,-151.266121,0.000000,0.000000
C17-21,-140.475907,0.000000,0.000000
C17-22,-126.600965,0.000000,0.000000
C17-23,-124.098392,0.000000,0.000000
C17-24,-117.149625,0.000000,0.000000
C18-1,38.032289,0.000000,0.000000
C18-2,37.494917,0.000000,0.000000
C18-3,29.614569,0.000000,0.000000
C18-4,37.079821,0.000000,0.000000
C18-5,37.205560,0.000000,0.000000
C18-6,37.865233,0.000000,0.000000
C18-7,39.244465,0.000000,0.000000
C18-8,41.294632,0.000000,0.000000
C18-9,-0.263717,0.000000,0.000000
C18-10,41.274647,0.000000,0.000000
C18-11,5.071631,0.000000,0.000000
C18-12,-114.478492,0.000000,0.000000
C18-13,-249.002931,0.000000,0.000000
C18-14,-279.336422,0.000000,0.000000
C18-15,-225.832646,0.000000,0.000000
C18-16,-151.451749,0.000000,0.000000
C18-17,-130.772622,0.000000,0.000000
C18-18,-145.642544,0.000000,0.000000
C18-19,-108.944762,0.000000,0.000000
C18-20,-85.541976,0.000000,0.000000
C18-21,-72.541293,0.000000,0.000000
C18-22,-57.941761,0.000000,0.000000
C18-23,-66.067556,0.000000,0.000000
C18-24,-68.223874,0.000000,0.000000
C19-1,-72.025847,0.000000,0.000000
C19-2,-59.154916,0.000000,0.000000
C19-3,-113.736542,0.000000,0.000000
C19-4,-49.785636,0.000000,0.000000
C19-5,-52.978933,0.000000,0.000000
C19-6,-67.272781,0.000000,0.000000
C19-7,-97.868411,0.000000,0.000000
C19-8,-111.364827,0.000000,0.000000
C19-9,-34.972355,0.000000,0.000000
C19-10,-116.525593,0.000000,0.000000
C19-11,-170.315304,0.000000,0.000000
C19-12,-105.806809,0.000000,0.000000
C19-13,7.468931,0.000000,0.000000
C19-14,24.293930,0.000000,0.000000
C19-15,-13.450333,0.000000,0.000000
C19-16,-68.952564,0.000000,0.000000
C19-17,-98.204782,0.000000,0.000000
C19-18,-86.577979,0.000000,0.000000
C19-19,-97.215013,0.000000,0.000000
C19-20,-119.728454,0.000000,0.000000
C19-21,-138.678283,0.000000,0.000000
C19-22,-149.814188,0.000000,0.000000
C19-23,-150.447474,0.000000,0.000000
C19-24,-148.340735,0.000000,0.000000
C20-1,22.234281,0.000000,0.000000
C20-2,24.361104,0.000000,0.000000
C20-3,5.440633,0.000000,0.000000
C20-4,25.885993,0.000000,0.000000
C20-5,25.350933,0.000000,0.000000
C20-6,23.050281,0.000000,0.000000
C20-7,18.093840,0.000000,0.000000
C20-8,17.145894,0.000000,0.000000
C20-9,13.541213,0.000000,0.000000
C20-10,35.654422,0.000000,0.000000
C20-11,-15.451686,0.000000,0.000000
C20-12,-109.176529,0.000000,0.000000
C20-13,-206.462258,0.000000,0.000000
C20-14,-234.345420,0.000000,0.000000
C20-15,-194.103913,0.000000,0.000000
C20-16,-141.852423,0.000000,0.000000
C20-17,-95.750795,0.000000,0.000000
C20-18,-105.667608,0.000000,0.000000
C20-19,-80.856127,0.000000,0.000000
C20-20,-80.609650,0.000000,0.000000
C20-21,-83.413731,0.000000,0.000000
C20-22,-84.204722,0.000000,0.000000
C20-23,-90.438522,0.000000,0.000000
C20-24,-93.922380,0.000000,0.000000
C21-1,-38.569319,0.000000,0.000000
C21-2,-31.340537,0.000000,0.000000
C21-3,-62.541733,0.000000,0.000000
C21-4,-26.079695,0.000000,0.000000
C21-5,-27.873574,0.000000,0.000000
C21-6,-35.898137,0.000000,0.000000
C21-7,-53.076278,0.000000,0.000000
C21-8,-60.223382,0.000000,0.000000
C21-9,-20.524672,0.000000,0.000000
C21-10,-49.248256,0.000000,0.000000
C21-11,-79.584995,0.000000,0.000000
C21-12,-72.401807,0.000000,0.000000
