,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C16-3,-33.097687,0.000000,0.000000
C16-4,-69.336751,0.000000,0.000000
C16-5,-72.861292,0.000000,0.000000
C16-6,-120.852718,0.000000,0.000000
C16-7,-86.743481,0.000000,0.000000
C16-8,-106.039696,0.000000,0.000000
C16-9,-89.024818,0.000000,0.000000
C16-10,-100.366963,0.000000,0.000000
C16-11,-115.877990,0.000000,0.000000
C16-12,-111.913656,0.000000,0.000000
C16-13,-115.740259,0.000000,0.000000
C16-14,-115.493522,0.000000,0.000000
C16-15,-116.860740,0.000000,0.000000
C16-16,-118.151054,0.000000,0.000000
C16-17,-130.515170,0.000000,0.000000
C16-18,-149.355734,0.000000,0.000000
C16-19,-151.906740,0.000000,0.000000
C16-20,-148.303934,0.000000,0.000000
C16-21,-144.035970,0.000000,0.000000
C16-22,-137.508770,0.000000,0.000000
C16-23,-135.792196,0.000000,0.000000
C16-24,-129.793303,0.000000,0.000000
C17-1,-75.752151,0.000000,0.000000
C17-2,-84.108210,0.000000,0.000000
C17-3,-45.329139,0.000000,0.000000
C17-4,-83.416801,0.000000,0.000000
C17-5,-81.960909,0.000000,0.000000
C17-6,-117.589884,0.000000,0.000000
C17-7,-94.112160,0.000000,0.000000
C17-8,-126.151791,0.000000,0.000000
C17-9,-105.880824,0.000000,0.000000
C17-10,-111.935761,0.000000,0.000000
C17-11,-112.792334,0.000000,0.000000
C17-12,-107.124342,0.000000,0.000000
C17-13,-107.752172,0.000000,0.000000
C17-14,-107.414116,0.000000,0.000000
C17-15,-107.620880,0.000000,0.000000
C17-16,-108.155400,0.000000,0.000000
C17-17,-116.969947,0.000000,0.000000
C17-18,-134.167027,0.000000,0.000000
C17-19,-153.246241,0.000000,0.000000
C17-20,-161.742555,0.000000,0.000000
C17-21,-154.700885,0.000000,0.000000
C17-22,-146.570821,0.000000,0.000000
C17-23,-120.871605,0.000000,0.000000
C17-24,-115.638044,0.000000,0.000000
C18-1,29.812284,0.000000,0.000000
C18-2,23.193731,0.000000,0.000000
C18-3,25.069009,0.000000,0.000000
C18-4,6.142927,0.000000,0.000000
C18-5,-53.071949,0.000000,0.000000
C18-6,-106.366322,0.000000,0.000000
C18-7,-71.240452,0.000000,0.000000
C18-8,-201.624919,0.000000,0.000000
C18-9,-162.167732,0.000000,0.000000
C18-10,-155.914051,0.000000,0.000000
C18-11,-76.003682,0.000000,0.000000
C18-12,-61.032666,0.000000,0.000000
C18-13,-56.594252,0.000000,0.000000
C18-14,-57.615303,0.000000,0.000000
C18-15,-59.834531,0.000000,0.000000
C18-16,-61.520019,0.000000,0.000000
C18-17,-64.780607,0.000000,0.000000
C18-18,-68.097065,0.000000,0.000000
C18-19,-101.631137,0.000000,0.000000
C18-20,-124.874414,0.000000,0.000000
C18-21,-117.891310,0.000000,0.000000
C18-22,-112.341900,0.000000,0.000000
C18-23,-67.271923,0.000000,0.000000
C18-24,-69.465022,0.000000,0.000000
C19-1,-128.921682,0.000000,0.000000
C19-2,-120.046947,0.000000,0.000000
C19-3,9.365628,0.000000,0.000000
C19-4,-45.841490,0.000000,0.000000
C19-5,-42.012913,0.000000,0.000000
C19-6,-109.798071,0.000000,0.000000
C19-7,-81.835981,0.000000,0.000000
C19-8,4.014309,0.000000,0.000000
C19-9,-2.477095,0.000000,0.000000
C19-10,-16.331291,0.000000,0.000000
C19-11,-92.270204,0.000000,0.000000
C19-12,-81.347192,0.000000,0.000000
C19-13,-91.016855,0.000000,0.000000
C19-14,-91.930382,0.000000,0.000000
C19-15,-102.213289,0.000000,0.000000
C19-16,-108.940065,0.000000,0.000000
C19-17,-139.958342,0.000000,0.000000
C19-18,-171.440975,0.000000,0.000000
C19-19,-148.877704,0.000000,0.000000
C19-20,-123.605057,0.000000,0.000000
C19-21,-121.191824,0.000000,0.000000
C19-22,-113.144426,0.000000,0.000000
C19-23,-152.128506,0.000000,0.000000
C19-24,-145.797586,0.000000,0.000000
C20-1,2.506203,0.000000,0.000000
C20-2,3.482410,0.000000,0.000000
C20-3,46.795126,0.000000,0.000000
C20-4,31.152616,0.000000,0.000000
C20-5,-36.908754,0.000000,0.000000
C20-6,-112.161931,0.000000,0.000000
C20-7,-58.151835,0.000000,0.000000
C20-8,-165.900810,0.000000,0.000000
C20-9,-132.227251,0.000000,0.000000
C20-10,-135.364973,0.000000,0.000000
C20-11,-81.484578,0.000000,0.000000
C20-12,-69.539685,0.000000,0.000000
C20-13,-70.783092,0.000000,0.000000
C20-14,-71.966349,0.000000,0.000000
C20-15,-76.246832,0.000000,0.000000
C20-16,-79.274799,0.000000,0.000000
C20-17,-88.840310,0.000000,0.000000
C20-18,-95.076005,0.000000,0.000000
C20-19,-99.251848,0.000000,0.000000
C20-20,-101.004063,0.000000,0.000000
C20-21,-98.947755,0.000000,0.000000
C20-22,-96.245432,0.000000,0.000000
C20-23,-93.774624,0.000000,0.000000
C20-24,-94.608301,0.000000,0.000000
C21-1,-71.093714,0.000000,0.000000
C21-2,-68.644592,0.000000,0.000000
C21-3,7.038068,0.000000,0.000000
C21-4,-43.431229,0.000000,0.000000
C21-5,-28.976157,0.000000,0.000000
C21-6,-52.890979,0.000000,0.000000
C21-7,-57.421312,0.000000,0.000000
C21-8,-19.799428,0.000000,0.000000
C21-9,-13.800780,0.000000,0.000000
C21-10,-20.599489,0.000000,0.000000
C21-11,-73.221267,0.000000,0.000000
C21-12,-63.331291,0.000000,0.000000
C21-13,-60.968172,0.000000,0.000000
C21-14,-61.538186,0.000000,0.000000
C21-15,-67.455830,0.000000,0.000000
C21-16,-71.339545,0.000000,0.000000
C21-17,-89.005453,0.000000,0.000000
C21-18,-114.305815,0.000000,0.000000
C21-19,-153.916487,0.000000,0.000000
C21-20,-174.156942,0.000000,0.000000
C21-21,-161.309894,0.000000,0.000000
C21-22,-147.233024,0.000000,0.000000
C21-23,-96.001914,0.000000,0.000000
C21-24,-92.549933,0.000000,0.000000
C22-1,-80.648137,0.000000,0.000000
C22-2,-78.456104,0.000000,0.000000
C22-3,-17.970959,0.000000,0.000000
C22-4,-65.610974,0.000000,0.000000
C22-5,-11.943299,0.000000,0.000000
C22-6,2.912043,0.000000,0.000000
C22-7,-31.937691,0.000000,0.000000
C22-8,69.456257,0.000000,0.000000
C22-9,57.565889,0.000000,0.000000
C22-10,51.716876,0.000000,0.000000
C22-11,-36.680496,0.000000,0.000000
C22-12,-32.244027,0.000000,0.000000
C22-13,-28.923268,0.000000,0.000000
C22-14,-28.905969,0.000000,0.000000
C22-15,-33.142156,0.000000,0.000000
C22-16,-35.801672,0.000000,0.000000
C22-17,-50.220622,0.000000,0.000000
C22-18,-74.988688,0.000000,0.000000
C22-19,-116.848397,0.000000,0.000000
C22-20,-138.448602,0.000000,0.000000
C22-21,-125.259396,0.000000,0.000000
C22-22,-111.055432,0.000000,0.000000
C22-23,-55.298893,0.000000,0.000000
C22-24,-50.990173,0.000000,0.000000
C23-1,-211.621777,0.000000,0.000000
C23-2,-192.497313,0.000000,0.000000
C23-3,12.292927,0.000000,0.000000
C23-4,-87.576827,0.000000,0.000000
C23-5,-18.922072,0.000000,0.000000
C23-6,-41.369987,0.000000,0.000000
C23-7,-43.727229,0.000000,0.000000
C23-8,53.777757,0.000000,0.000000
C23-9,36.689645,0.000000,0.000000
C23-10,-29.086651,0.000000,0.000000
C23-11,-176.402257,0.000000,0.000000
C23-12,-178.960921,0.000000,0.000000
C23-13,-188.538525,0.000000,0.000000
C23-14,-187.825669,0.000000,0.000000
C23-15,-196.451505,0.000000,0.000000
C23-16,-201.674642,0.000000,0.000000
C23-17,-233.859006,0.000000,0.000000
C23-18,-276.480836,0.000000,0.000000
C23-19,-256.955527,0.000000,0.000000
C23-20,-229.197274,0.000000,0.000000
C23-21,-223.746079,0.000000,0.000000
C23-22,-211.341199,0.000000,0.000000
C23-23,-244.310727,0.000000,0.000000
C23-24,-232.609670,0.000000,0.000000
C24-1,72.158667,0.000000,0.000000
C24-2,19.860573,0.000000,0.000000
C24-3,18.158695,0.000000,0.000000
C24-4,-3.274412,0.000000,0.000000
C24-5,-58.694664,0.000000,0.000000
C24-6,-92.242166,0.000000,0.000000
C24-7,-61.342810,0.000000,0.000000
C24-8,-130.515307,0.000000,0.000000
C24-9,-98.461646,0.000000,0.000000
C24-10,-73.364219,0.000000,0.000000
C24-11,107.968882,0.000000,0.000000
C24-12,140.762606,0.000000,0.000000
C24-13,129.588269,0.000000,0.000000
C24-14,80.243537,0.000000,0.000000
C24-15,72.657748,0.000000,0.000000
C24-16,58.670227,0.000000,0.000000
C24-17,90.512939,0.000000,0.000000
C24-18,102.474012,0.000000,0.000000
C24-19,43.735864,0.000000,0.000000
C24-20,11.260801,0.000000,0.000000
C24-21,25.241194,0.000000,0.000000
C24-22,30.948427,0.000000,0.000000
C24-23,73.335618,0.000000,0.000000
C24-24,12.205091,0.000000,0.000000
C25-1-1,-99.977579,0.000000,0.000000
C25-1-2,-99.939473,0.000000,0.000000
C25-1-3,28.161324,0.000000,0.000000
C25-1-4,-21.191055,0.000000,0.000000
C25-1-5,-14.206706,0.000000,0.000000
C25-1-6,-48.492451,0.000000,0.000000
C25-1-7,-38.499941,0.000000,0.000000
C25-1-8,3.868035,0.000000,0.000000
C25-1-9,-6.444934,0.000000,0.000000
C25-1-10,-27.975350,0.000000,0.000000
C25-1-11,-104.076629,0.000000,0.000000
C25-1-12,-96.405904,0.000000,0.000000
C25-1-13,-116.785691,0.000000,0.000000
C25-1-14,-129.201625,0.000000,0.000000
C25-1-15,-131.261883,0.000000,0.000000
C25-1-16,-130.824021,0.000000,0.000000
C25-1-17,-165.049342,0.000000,0.000000
C25-1-18,-171.113151,0.000000,0.000000
C25-1-19,-146.926761,0.000000,0.000000
C25-1-20,-131.614588,0.000000,0.000000
C25-1-21,-132.839122,0.000000,0.000000
C25-1-22,-126.573942,0.000000,0.000000
C25-1-23,-168.487924,0.000000,0.000000
C25-1-24,-158.368485,0.000000,0.000000
C25-2-1,-99.977579,0.000000,0.000000
C25-2-2,-99.939473,0.000000,0.000000
C25-2-3,28.161324,0.000000,0.000000
C25-2-4,-21.191055,0.000000,0.000000
C25-2-5,-14.206706,0.000000,0.000000
C25-2-6,-48.492451,0.000000,0.000000
C25-2-7,-38.499941,0.000000,0.000000
C25-2-8,3.868035,0.000000,0.000000
C25-2-9,-6.444934,0.000000,0.000000
C25-2-10,-27.975350,0.000000,0.000000
C25-2-11,-104.076629,0.000000,0.000000
C25-2-12,-96.405904,0.000000,0.000000
C25-2-13,-116.785691,0.000000,0.000000
C25-2-14,-129.201625,0.000000,0.000000
C25-2-15,-131.261883,0.000000,0.000000
C25-2-16,-130.824021,0.000000,0.000000
C25-2-17,-165.049342,0.000000,0.000000
C25-2-18,-171.113151,0.000000,0.000000
C25-2-19,-146.926761,0.000000,0.000000
C25-2-20,-131.614588,0.000000,0.000000
C25-2-21,-132.839122,0.000000,0.000000
C25-2-22,-126.573942,0.000000,0.000000
C25-2-23,-168.487924,0.000000,0.000000
C25-2-24,-158.368485,0.000000,0.000000
C26-1,-7.337170,0.000000,0.000000
C26-2,50.099518,0.000000,0.000000
C26-3,-200.188240,0.000000,0.000000
C26-4,-77.442973,0.000000,0.000000
C26-5,-35.540138,0.000000,0.000000
C26-6,63.821025,0.000000,0.000000
C26-7,8.724690,0.000000,0.000000
C26-8,-9.295739,0.000000,0.000000
C26-9,-30.100084,0.000000,0.000000
C26-10,-21.663728,0.000000,0.000000
