,hour,SegmentOffer,SegmentDispatch,SegmentEmissions,Commitment,Startup,Shutdown,MaxDual,MinDual,DMaxDual,DMinDual,RampMaxDual,RampMinDual,StartShutDual,Zone,LMP,MarginalCost,Profit,PreviousOffer,AvailableSegmentCapacity
315_STEAM_2-3,1,124.099655,0.000000,0.000000,1.000000,0.000000,0.000000,951.337121,0.000000,0.000000,49.034778,0.000000,0.000000,0.000000,315,22.403768,124.099655,-0.0,124.099655,2.333333
315_STEAM_3-0,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,49.034778,0.000000,0.000000,0.000000,315,22.403768,75.436777,-0.0,75.436777,5.000000
315_STEAM_3-1,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,49.034778,0.000000,0.000000,0.000000,315,22.403768,75.436777,-0.0,75.436777,2.333333
315_STEAM_3-2,1,100.399529,0.000000,0.000000,1.000000,0.000000,0.000000,975.037247,0.000000,0.000000,49.034778,0.000000,0.000000,0.000000,315,22.403768,100.399529,-0.0,100.399529,2.333333
315_STEAM_3-3,1,124.099655,0.000000,0.000000,1.000000,0.000000,0.000000,951.337121,0.000000,0.000000,49.034778,0.000000,0.000000,0.000000,315,22.403768,124.099655,-0.0,124.099655,2.333333
301_CT_2-0,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,58.785792,0.000000,0.000000,0.000000,301,23.800285,87.255791,-0.0,87.255791,8.000000
301_CT_2-1,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,58.785792,0.000000,0.000000,0.000000,301,23.800285,87.255791,-0.0,87.255791,4.000000
301_CT_2-2,1,99.695770,0.000000,0.000000,1.000000,0.000000,0.000000,987.560021,0.000000,0.000000,58.785792,0.000000,0.000000,0.000000,301,23.800285,99.695770,-0.0,99.695770,4.000000
301_CT_2-3,1,105.367241,0.000000,0.000000,1.000000,0.000000,0.000000,981.888550,0.000000,0.000000,58.785792,0.000000,0.000000,0.000000,301,23.800285,105.367241,-0.0,105.367241,4.000000
313_CC_1-0,1,15.731579,170.000000,36.823878,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,313,26.755735,15.731579,1874.1065200000003,15.731579,170.000000
313_CC_1-1,1,15.731579,61.666667,13.357681,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,313,26.755735,15.731579,679.8229570080521,15.731579,61.666667
313_CC_1-2,1,26.755735,54.386161,20.036117,1.000000,0.000000,0.000000,988.975844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,313,26.755735,26.755735,0.0,26.755735,61.666667
313_CC_1-3,1,33.752731,0.000000,0.000000,1.000000,0.000000,0.000000,981.978848,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,313,26.755735,33.752731,-0.0,33.752731,61.666667
315_CT_6-0,1,26.401998,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.403768,26.401998,-0.0,26.401998,22.000000
315_CT_6-1,1,26.401998,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.403768,26.401998,-0.0,26.401998,11.000000
315_CT_6-2,1,26.895675,0.000000,0.000000,1.000000,0.000000,0.000000,999.506323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.403768,26.895675,-0.0,26.895675,11.000000
315_CT_6-3,1,31.855768,0.000000,0.000000,1.000000,0.000000,0.000000,994.546230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.403768,31.855768,-0.0,31.855768,11.000000
322_HYDRO_3-0,1,0.000000,36.600000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,322,22.855622,0.000000,836.5157652,0.000000,36.600000
322_HYDRO_3-1,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,322,22.855622,0.000000,0.0,0.000000,0.000000
322_HYDRO_3-2,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,322,22.855622,0.000000,0.0,0.000000,0.000000
322_HYDRO_3-3,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,322,22.855622,0.000000,0.0,0.000000,0.000000
318_CC_1-0,1,26.845141,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,318,22.883327,26.845141,-0.0,26.845141,170.000000
318_CC_1-1,1,26.845141,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,318,22.883327,26.845141,-0.0,26.845141,61.666667
318_CC_1-2,1,27.276623,0.000000,0.000000,1.000000,0.000000,0.000000,999.568519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,318,22.883327,27.276623,-0.0,27.276623,61.666667
318_CC_1-3,1,31.529241,0.000000,0.000000,1.000000,0.000000,0.000000,995.315900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,318,22.883327,31.529241,-0.0,31.529241,61.666667
302_CT_2-0,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,53.464188,0.000000,0.000000,0.000000,302,24.318913,87.255791,-0.0,87.255791,8.000000
302_CT_2-1,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,53.464188,0.000000,0.000000,0.000000,302,24.318913,87.255791,-0.0,87.255791,4.000000
302_CT_2-2,1,99.695770,0.000000,0.000000,1.000000,0.000000,0.000000,987.560021,0.000000,0.000000,53.464188,0.000000,0.000000,0.000000,302,24.318913,99.695770,-0.0,99.695770,4.000000
302_CT_2-3,1,105.367241,0.000000,0.000000,1.000000,0.000000,0.000000,981.888550,0.000000,0.000000,53.464188,0.000000,0.000000,0.000000,302,24.318913,105.367241,-0.0,105.367241,4.000000
322_HYDRO_4-0,1,0.000000,36.600000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,322,22.855622,0.000000,836.5157652,0.000000,36.600000
322_HYDRO_4-1,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,322,22.855622,0.000000,0.0,0.000000,0.000000
322_HYDRO_4-2,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,322,22.855622,0.000000,0.0,0.000000,0.000000
322_HYDRO_4-3,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,322,22.855622,0.000000,0.0,0.000000,0.000000
322_CT_6-0,1,23.334982,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,23.334982,0.000000,0.000000,0.000000,322,22.855622,23.334982,-0.0,23.334982,22.000000
322_CT_6-1,1,23.334982,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,23.334982,0.000000,0.000000,0.000000,322,22.855622,23.334982,-0.0,23.334982,11.000000
322_CT_6-2,1,26.499179,0.000000,0.000000,1.000000,0.000000,0.000000,996.835803,0.000000,0.000000,23.334982,0.000000,0.000000,0.000000,322,22.855622,26.499179,-0.0,26.499179,11.000000
322_CT_6-3,1,27.894691,0.000000,0.000000,1.000000,0.000000,0.000000,995.440291,0.000000,0.000000,23.334982,0.000000,0.000000,0.000000,322,22.855622,27.894691,-0.0,27.894691,11.000000
315_STEAM_4-0,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,49.034778,0.000000,0.000000,0.000000,315,22.403768,75.436777,-0.0,75.436777,5.000000
315_STEAM_4-1,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,49.034778,0.000000,0.000000,0.000000,315,22.403768,75.436777,-0.0,75.436777,2.333333
315_STEAM_4-2,1,100.399529,0.000000,0.000000,1.000000,0.000000,0.000000,975.037247,0.000000,0.000000,49.034778,0.000000,0.000000,0.000000,315,22.403768,100.399529,-0.0,100.399529,2.333333
315_STEAM_4-3,1,124.099655,0.000000,0.000000,1.000000,0.000000,0.000000,951.337121,0.000000,0.000000,49.034778,0.000000,0.000000,0.000000,315,22.403768,124.099655,-0.0,124.099655,2.333333
323_CC_2-0,1,26.429209,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,323,25.354926,26.429209,-0.0,26.429209,170.000000
323_CC_2-1,1,26.429209,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,323,25.354926,26.429209,-0.0,26.429209,61.666667
323_CC_2-2,1,30.277557,0.000000,0.000000,1.000000,0.000000,0.000000,996.151652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,323,25.354926,30.277557,-0.0,30.277557,61.666667
323_CC_2-3,1,31.727490,0.000000,0.000000,1.000000,0.000000,0.000000,994.701719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,323,25.354926,31.727490,-0.0,31.727490,61.666667
307_CT_1-0,1,27.894691,22.000000,8.449918,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,28.697026,27.894691,17.651369999999986,27.894691,22.000000
307_CT_1-1,1,27.894691,11.000000,4.224959,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,28.697026,27.894691,8.825684999999993,27.894691,11.000000
307_CT_1-2,1,29.220233,0.000000,0.000000,1.000000,0.000000,0.000000,998.674458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,28.697026,29.220233,-0.0,29.220233,11.000000
307_CT_1-3,1,35.474770,0.000000,0.000000,1.000000,0.000000,0.000000,992.419921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,28.697026,35.474770,-0.0,35.474770,11.000000
302_CT_4-0,1,33.791603,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,302,24.318913,33.791603,-0.0,33.791603,22.000000
302_CT_4-1,1,33.791603,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,302,24.318913,33.791603,-0.0,33.791603,11.000000
302_CT_4-2,1,38.382410,0.000000,0.000000,1.000000,0.000000,0.000000,995.409193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,302,24.318913,38.382410,-0.0,38.382410,11.000000
302_CT_4-3,1,38.635080,0.000000,0.000000,1.000000,0.000000,0.000000,995.156524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,302,24.318913,38.635080,-0.0,38.635080,11.000000
301_CT_4-0,1,28.469999,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,23.800285,28.469999,-0.0,28.469999,22.000000
301_CT_4-1,1,28.469999,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,23.800285,28.469999,-0.0,28.469999,11.000000
301_CT_4-2,1,29.286315,0.000000,0.000000,1.000000,0.000000,0.000000,999.183684,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,23.800285,29.286315,-0.0,29.286315,11.000000
301_CT_4-3,1,43.742887,0.000000,0.000000,1.000000,0.000000,0.000000,984.727113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,23.800285,43.742887,-0.0,43.742887,11.000000
301_CT_3-0,1,28.469999,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,23.800285,28.469999,-0.0,28.469999,22.000000
301_CT_3-1,1,28.469999,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,23.800285,28.469999,-0.0,28.469999,11.000000
301_CT_3-2,1,29.286315,0.000000,0.000000,1.000000,0.000000,0.000000,999.183684,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,23.800285,29.286315,-0.0,29.286315,11.000000
301_CT_3-3,1,43.742887,0.000000,0.000000,1.000000,0.000000,0.000000,984.727113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,23.800285,43.742887,-0.0,43.742887,11.000000
323_CC_1-0,1,26.429209,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,323,25.354926,26.429209,-0.0,26.429209,170.000000
323_CC_1-1,1,26.429209,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,323,25.354926,26.429209,-0.0,26.429209,61.666667
